City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
290,batticaloa,7.7102,81.6924,26.84,78,100,2.02,LK,1719953808
291,jayapura,-2.5333,140.7,23.66,93,100,2.02,ID,1719953809
292,miles city,46.4083,-105.8406,21.54,56,75,4.12,US,1719953810
293,valley city,46.9233,-98.0032,25.29,53,40,9.26,US,1719953811
294,daytona beach,29.2108,-81.0228,33.38,65,40,7.15,US,1719953470
295,ulsteinvik,62.3432,5.8487,11.28,91,99,3.58,NO,1719953814
296,poronaysk,49.2167,143.1167,13.75,73,0,1.04,RU,1719953815
297,severo-yeniseyskiy,60.3725,93.0408,9.61,61,40,1.13,RU,1719953816
298,prince rupert,54.3161,-130.3201,12.83,91,74,6.17,CA,1719953817
299,new norfolk,-42.7826,147.0587,2.73,98,17,1.15,AU,1719953819
300,saudarkrokur,65.7461,-19.6394,10.78,76,98,2.44,IS,1719953820
301,sisimiut,66.9395,-53.6735,3.47,93,100,3.13,GL,1719953821
302,wiesenburg,52.1167,12.45,14.81,94,100,3.1,DE,1719953822
303,port augusta,-32.5,137.7667,2.97,81,0,1.32,AU,1719953823
304,narayangarh,30.4833,77.1333,27.04,89,92,4.27,IN,1719953824
305,santa marta de ortigueira,43.6833,-7.85,17.84,72,65,5.5,ES,1719953826
306,coracora,-15.0333,-73.7833,17.2,34,0,3.62,PE,1719953827
307,hami,42.8,93.45,24.63,43,99,1.85,CN,1719953828
308,vanimo,-2.6741,141.3028,24.63,90,99,1.79,PG,1719953829
309,sitka,57.0531,-135.33,12.94,71,100,4.63,US,1719953830
310,vyaz'ma,55.2104,34.2951,18.59,91,55,2.4,RU,1719953832
311,darhan,49.4867,105.9228,17.59,67,8,1.63,MN,1719953833
312,chibougamau,49.9168,-74.3659,23.79,41,100,5.14,CA,1719953834
313,afaahiti,-17.75,-149.2833,26.93,71,100,9.0,PF,1719953835
314,lorengau,-2.0226,147.2712,24.77,88,100,0.58,PG,1719953837
315,garachico,28.7781,-17.7646,19.06,73,75,8.23,ES,1719953838
316,brasilia de minas,-16.2064,-44.4333,22.04,40,2,1.78,BR,1719953839
317,bafoulabe,13.8065,-10.8321,32.14,51,60,2.6,ML,1719953840
318,kenai,60.5544,-151.2583,15.05,68,0,5.14,US,1719953841
319,dhidhdhoo,6.8833,73.1,28.28,80,100,5.34,MV,1719953843
320,timbuktu,16.7735,-3.0074,37.92,25,0,6.75,ML,1719953844
321,quezon,7.7303,125.0989,21.16,96,1,0.94,PH,1719953845
322,happy valley-goose bay,53.3168,-60.3315,28.17,26,75,4.63,CA,1719953846
323,avarua,-21.2078,-159.775,26.03,78,75,3.6,CK,1719953847
324,kudahuvadhoo,2.6708,72.8944,28.6,76,83,3.41,MV,1719953849
325,selkirk,50.1436,-96.8845,20.66,73,95,4.92,CA,1719953706
326,wellington,-41.2866,174.7756,9.81,70,40,13.89,NZ,1719953851
327,greymouth,-42.4667,171.2,3.5,85,1,4.08,NZ,1719953852
328,viqueque,-8.8673,126.3658,23.46,89,65,3.32,TL,1719953854
329,najran,17.4924,44.1277,32.36,37,100,4.19,SA,1719953855
330,qui nhon,13.7667,109.2333,24.61,88,93,0.97,VN,1719953856
331,badger,64.8,-147.5333,18.93,69,100,2.06,US,1719953857
332,north bend,43.4065,-124.2243,23.88,68,0,11.83,US,1719953858
333,westport,41.1415,-73.3579,28.8,42,0,3.6,US,1719953640
334,gidam,18.9833,81.4,24.98,90,100,1.15,IN,1719953861
335,lerwick,60.1545,-1.1494,10.0,91,100,6.76,GB,1719953862
336,acarau,-2.8856,-40.12,26.41,80,47,7.4,BR,1719953863
337,tamanrasset,22.785,5.5228,29.95,11,0,3.09,DZ,1719953864
338,hillsboro,45.5229,-122.9898,24.32,52,20,4.12,US,1719953512
339,fort st. john,56.2499,-120.8529,13.94,94,100,4.63,CA,1719953747
340,enewetak,11.3474,162.3373,28.16,81,99,9.06,MH,1719953868
341,kristiansund,63.1115,7.732,11.03,93,75,8.23,NO,1719953869
342,aykhal,66.0,111.5,7.27,71,23,9.56,RU,1719953870
343,huarmey,-10.0681,-78.1522,19.97,73,28,2.86,PE,1719953871
344,tame,6.461,-71.73,27.69,83,96,1.97,CO,1719953873
345,la foa,-21.7108,165.8276,22.45,74,59,0.38,NC,1719953874
346,manta,-0.95,-80.7333,26.88,74,75,5.14,EC,1719953488
347,okahao,-17.885,15.0667,16.86,24,3,1.0,NA,1719953876
348,kolonia town,6.964,158.206,28.56,71,18,4.71,FM,1719953877
349,khadan khak,30.7477,67.7085,24.26,65,0,3.28,PK,1719953879
350,phibun mangsahan,15.2447,105.2291,27.99,89,100,3.05,TH,1719953880
351,kapa'a,22.0752,-159.319,27.49,69,20,6.17,US,1719953702
352,chenaran,36.6455,59.1212,21.16,27,0,4.5,IR,1719953882
353,dumai,1.6833,101.45,23.8,97,92,0.81,ID,1719953883
354,hilo,19.7297,-155.09,27.19,76,75,1.54,US,1719953602
355,sos'va,59.1766,61.8558,13.98,80,91,1.38,RU,1719953886
356,virar,19.4667,72.8,29.05,86,100,8.15,IN,1719953887
357,mbanza kongo,-6.267,14.2401,20.56,76,84,1.8,AO,1719953889
358,thomasville,35.8826,-80.082,30.64,40,22,0.45,US,1719953891
359,sabang,5.8933,95.3214,28.81,74,100,5.74,ID,1719953892
360,whakatane,-37.9585,176.9854,8.62,93,91,0.45,NZ,1719953893
361,cill airne,52.05,-9.5167,12.18,84,100,2.11,IE,1719953894
362,ad duraykish,34.8967,36.1329,21.38,100,34,0.91,SY,1719953895
363,boende,-0.2167,20.8667,24.88,72,87,1.35,CD,1719953897
364,tofol,5.3248,163.0078,28.38,74,10,3.69,FM,1719953898
365,keetmanshoop,-26.5833,18.1333,14.51,38,0,1.03,NA,1719953899
366,monchegorsk,67.9397,32.8739,11.63,96,73,2.78,RU,1719953901
367,belyy yar,53.6039,91.3903,20.94,78,0,1.0,RU,1719953902
368,tarko-sale,64.9225,77.785,9.09,60,5,3.91,RU,1719953903
369,yorkton,51.2167,-102.4677,20.91,49,20,9.77,CA,1719953904
370,tralee,52.2704,-9.7026,12.49,84,100,3.26,IE,1719953905
371,la'ie,21.6477,-157.9253,27.98,78,84,3.58,US,1719953907
